unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1537142400,2018-09-17,BTC/USD,6499.28,6530.24,6200.0,6254.52,4386.88772482,27437877.012641188
1537056000,2018-09-16,BTC/USD,6521.49,6524.84,6349.47,6499.98,1098.62806031,7141060.419453792
1536969600,2018-09-15,BTC/USD,6476.51,6570.1,6466.74,6520.15,1328.81956289,8664102.872977233
1536883200,2018-09-14,BTC/USD,6482.95,6587.0,6384.36,6476.51,4598.02098322,29779128.878034163
1536796800,2018-09-13,BTC/USD,6326.83,6537.46,6324.37,6485.7,6985.34747474,45304868.116921216
1536710400,2018-09-12,BTC/USD,6274.6,6350.0,6192.89,6322.45,4282.15960066,27073739.967192817
1536624000,2018-09-11,BTC/USD,6303.99,6405.0,6162.06,6279.99,7076.79725968,44442216.022817805
1536537600,2018-09-10,BTC/USD,6238.99,6351.13,6223.9,6301.99,5371.72530672,33852559.16569637
1536451200,2018-09-09,BTC/USD,6178.31,6451.51,6094.38,6236.04,4104.31379555,25594665.00160162
1536364800,2018-09-08,BTC/USD,6401.01,6465.46,6113.23,6178.31,4284.19484304,26469083.840702463
1536278400,2018-09-07,BTC/USD,6488.01,6525.0,6322.0,6400.0,6541.96747088,41868591.813632
1536192000,2018-09-06,BTC/USD,6671.95,6705.59,6253.29,6493.09,14674.0236716,95279756.36182924
1536105600,2018-09-05,BTC/USD,7353.48,7387.0,6650.0,6679.3,12408.79698551,82882077.70531695
1536019200,2018-09-04,BTC/USD,7261.29,7411.85,7231.0,7361.0,4531.14780379,33353778.98369819
1535932800,2018-09-03,BTC/USD,7291.94,7340.08,7184.0,7258.99,2829.87707292,20542049.373555552
1535846400,2018-09-02,BTC/USD,7195.8,7334.5,7130.63,7290.31,3297.68658519,24041157.48887651
1535760000,2018-09-01,BTC/USD,7015.78,7300.18,7015.22,7185.01,4590.45724112,32982481.18201961
1535673600,2018-08-31,BTC/USD,6984.34,7101.03,6879.0,7017.35,5790.38050638,40633126.6464457
1535587200,2018-08-30,BTC/USD,7034.47,7055.97,6792.85,6984.01,6875.26197217,48016898.36625501
1535500800,2018-08-29,BTC/USD,7079.46,7124.06,6890.0,7032.96,5730.97892652,40305745.5510581
1535414400,2018-08-28,BTC/USD,6911.7,7125.28,6861.17,7080.94,8222.24765235,58221242.29143121
1535328000,2018-08-27,BTC/USD,6700.13,6944.47,6641.35,6904.51,5863.68824836,40485894.147684105
1535241600,2018-08-26,BTC/USD,6732.99,6775.34,6558.95,6700.46,3475.7202496,23288924.503634814
1535155200,2018-08-25,BTC/USD,6692.99,6800.0,6664.25,6732.4,4980.64928331,33531723.23495624
1535068800,2018-08-24,BTC/USD,6525.99,6721.09,6445.32,6692.94,6374.54257854,42664431.00561351
1534982400,2018-08-23,BTC/USD,6355.97,6575.99,6344.8,6525.01,4028.43387247,26285571.30220548
1534896000,2018-08-22,BTC/USD,6478.99,6906.81,6250.0,6355.76,11955.65069577,75987246.46614714
1534809600,2018-08-21,BTC/USD,6260.83,6513.28,6246.05,6479.27,5655.04172504,36640542.19779992
1534723200,2018-08-20,BTC/USD,6481.63,6522.99,6223.9,6260.82,6254.82080784,39160307.21014083
1534636800,2018-08-19,BTC/USD,6397.37,6545.0,6312.0,6481.99,3138.71131829,20345095.378042597
1534550400,2018-08-18,BTC/USD,6578.13,6615.0,6303.0,6399.28,3496.80232127,22377017.158456683
1534464000,2018-08-17,BTC/USD,6314.08,6584.49,6290.64,6580.15,6635.58158998,43663122.1993069
1534377600,2018-08-16,BTC/USD,6273.34,6477.57,6208.37,6313.51,7099.2611636,44821256.34900024
1534291200,2018-08-15,BTC/USD,6194.3,6628.5,6186.02,6272.3,12501.11334781,78410733.25146866
1534204800,2018-08-14,BTC/USD,6252.63,6254.02,5880.0,6193.62,14235.27018218,88167854.10575369
1534118400,2018-08-13,BTC/USD,6311.99,6544.37,6142.2,6252.63,8896.68083746,55627653.50472752
1534032000,2018-08-12,BTC/USD,6240.49,6493.77,6163.44,6310.82,7169.89323056,45247905.597282656
1533945600,2018-08-11,BTC/USD,6139.99,6494.13,6000.0,6239.98,6818.37504816,42546523.93301743
1533859200,2018-08-10,BTC/USD,6544.98,6584.05,5995.75,6139.99,14096.00988894,86549359.7579927
1533772800,2018-08-09,BTC/USD,6283.89,6627.0,6190.01,6543.76,9484.88670496,62066822.224449046
1533686400,2018-08-08,BTC/USD,6717.67,6717.68,6121.0,6283.59,14668.56802221,92171267.33867854
1533600000,2018-08-07,BTC/USD,6932.18,7155.0,6671.0,6717.68,10039.39296375,67441429.32472411
